steps     error     softmax loss   ponder loss      min / avg / std / max ponder  
-----------------------------------------------------------------------------------
1000      99.90     9.15364        0.238089         1.00 / 1.42 / 0.63 / 4.00     
2000      99.90     8.42496        0.214595         1.00 / 1.58 / 0.72 / 5.00     
3000      99.80     7.92392        0.200981         1.00 / 1.74 / 0.81 / 5.00     
4000      99.50     7.6626         0.180726         1.00 / 1.95 / 0.89 / 10.00    
5000      99.50     7.12547        0.176778         1.00 / 2.02 / 0.83 / 5.00     
6000      98.90     6.77212        0.191552         1.00 / 2.04 / 0.83 / 5.00     
7000      96.90     6.46616        0.195654         1.00 / 2.20 / 1.01 / 7.00     
8000      96.40     6.1646         0.218972         1.00 / 2.11 / 0.96 / 6.00     
9000      94.60     5.85113        0.231967         1.00 / 2.11 / 0.96 / 6.00     
10000     93.40     5.64986        0.235108         1.00 / 2.13 / 0.96 / 5.00     
11000     92.80     5.46768        0.237803         1.00 / 2.15 / 0.92 / 5.00     
12000     92.40     5.23574        0.256412         1.00 / 2.10 / 0.92 / 5.00     
13000     90.00     5.03613        0.244319         1.00 / 2.24 / 1.07 / 7.00     
14000     89.60     4.86452        0.257017         1.00 / 2.19 / 1.02 / 6.00     
15000     88.60     4.68725        0.244216         1.00 / 2.25 / 1.07 / 10.00    
16000     90.00     4.56587        0.252104         1.00 / 2.24 / 1.03 / 6.00     
17000     87.10     4.37624        0.248552         1.00 / 2.29 / 1.10 / 7.00     
18000     86.40     4.24447        0.262103         1.00 / 2.22 / 1.06 / 10.00    
19000     85.90     4.12723        0.262572         1.00 / 2.24 / 1.05 / 7.00     
20000     84.60     4.02092        0.269663         1.00 / 2.22 / 0.99 / 7.00     
21000     85.30     3.89348        0.278637         1.00 / 2.15 / 0.96 / 6.00     
22000     82.30     3.77238        0.278314         1.00 / 2.18 / 0.96 / 10.00    
23000     81.80     3.66732        0.287808         1.00 / 2.14 / 0.90 / 6.00     
24000     81.40     3.56034        0.287544         1.00 / 2.16 / 0.93 / 6.00     
25000     80.10     3.46949        0.278481         1.00 / 2.21 / 0.97 / 6.00     
26000     80.80     3.38959        0.292288         1.00 / 2.15 / 0.92 / 6.00     
27000     78.80     3.32944        0.299324         1.00 / 2.10 / 0.89 / 6.00     
28000     77.70     3.26747        0.303225         1.00 / 2.10 / 0.87 / 5.00     
29000     76.70     3.17879        0.288732         1.00 / 2.18 / 0.92 / 6.00     
30000     76.60     3.09922        0.296194         1.00 / 2.15 / 0.90 / 6.00     
31000     77.10     2.99432        0.300693         1.00 / 2.12 / 0.89 / 6.00     
32000     74.00     2.91936        0.298548         1.00 / 2.13 / 0.87 / 6.00     
33000     73.90     2.82556        0.299368         1.00 / 2.13 / 0.87 / 6.00     
34000     73.60     2.78799        0.296849         1.00 / 2.13 / 0.87 / 6.00     
35000     71.60     2.72039        0.289443         1.00 / 2.21 / 1.01 / 10.00    
36000     71.40     2.67072        0.292756         1.00 / 2.18 / 0.91 / 10.00    
37000     71.10     2.68791        0.310564         1.00 / 2.09 / 0.85 / 6.00     
38000     69.30     2.53054        0.294528         1.00 / 2.17 / 0.89 / 6.00     
39000     70.90     2.50666        0.302042         1.00 / 2.13 / 0.90 / 6.00     
40000     67.10     2.43204        0.298591         1.00 / 2.15 / 0.90 / 6.00     
41000     68.40     2.41156        0.301513         1.00 / 2.14 / 0.89 / 6.00     
42000     66.10     2.34379        0.300243         1.00 / 2.14 / 0.91 / 6.00     
43000     66.80     2.33865        0.297733         1.00 / 2.14 / 0.90 / 6.00     
44000     66.50     2.30116        0.290477         1.00 / 2.19 / 0.89 / 6.00     
45000     65.70     2.25121        0.299563         1.00 / 2.14 / 0.90 / 6.00     
46000     64.30     2.23904        0.306682         1.00 / 2.11 / 0.87 / 6.00     
47000     63.60     2.20941        0.301354         1.00 / 2.13 / 0.86 / 6.00     
48000     65.50     2.16166        0.296769         1.00 / 2.16 / 0.88 / 6.00     
49000     62.60     2.12954        0.280074         1.00 / 2.24 / 0.96 / 7.00     
50000     60.20     2.07604        0.297568         1.00 / 2.15 / 0.86 / 6.00     
51000     62.20     2.07445        0.299294         1.00 / 2.13 / 0.86 / 6.00     
52000     63.40     2.15649        0.297051         1.00 / 2.15 / 0.88 / 6.00     
53000     62.20     2.05698        0.285125         1.00 / 2.23 / 1.00 / 6.00     
54000     61.20     2.01557        0.29415          1.00 / 2.16 / 0.91 / 6.00     
55000     60.90     1.98183        0.307174         1.00 / 2.11 / 0.88 / 6.00     
56000     60.40     1.96058        0.302959         1.00 / 2.12 / 0.86 / 6.00     
57000     59.80     1.9559         0.271669         1.00 / 2.28 / 1.02 / 7.00     
58000     58.30     1.9039         0.294159         1.00 / 2.15 / 0.88 / 6.00     
59000     58.30     1.88951        0.27535          1.00 / 2.26 / 0.98 / 7.00     
60000     60.50     1.9065         0.294687         1.00 / 2.17 / 0.88 / 6.00     
61000     57.60     1.85338        0.30049          1.00 / 2.14 / 0.88 / 6.00     
62000     57.60     1.8137         0.297927         1.00 / 2.14 / 0.86 / 6.00     
63000     55.80     1.82141        0.293797         1.00 / 2.19 / 0.87 / 6.00     
64000     57.70     1.77313        0.299491         1.00 / 2.13 / 0.87 / 6.00     
65000     55.40     1.79997        0.300503         1.00 / 2.12 / 0.87 / 6.00     
66000     55.40     1.81588        0.286807         1.00 / 2.19 / 0.88 / 5.00     
67000     54.90     1.7505         0.300282         1.00 / 2.12 / 0.86 / 5.00     
68000     56.20     1.72901        0.295468         1.00 / 2.15 / 0.88 / 6.00     
69000     55.50     1.73561        0.305184         1.00 / 2.12 / 0.87 / 6.00     
70000     55.40     1.69255        0.30861          1.00 / 2.11 / 0.86 / 6.00     
71000     53.30     1.65629        0.302451         1.00 / 2.12 / 0.86 / 6.00     
72000     54.70     1.66725        0.28242          1.00 / 2.21 / 0.91 / 6.00     
73000     51.90     1.6706         0.307385         1.00 / 2.10 / 0.86 / 6.00     
74000     51.80     1.63757        0.300707         1.00 / 2.13 / 0.87 / 6.00     
75000     53.60     1.6261         0.307822         1.00 / 2.11 / 0.85 / 6.00     
76000     53.30     1.5905         0.290919         1.00 / 2.17 / 0.87 / 6.00     
77000     52.10     1.55877        0.299526         1.00 / 2.15 / 0.85 / 6.00     
78000     52.90     1.57887        0.297297         1.00 / 2.15 / 0.86 / 5.00     
79000     49.50     1.52157        0.289148         1.00 / 2.17 / 0.88 / 6.00     
80000     51.40     1.50899        0.304207         1.00 / 2.12 / 0.87 / 6.00     
81000     52.90     1.6289         0.280684         1.00 / 2.21 / 0.89 / 6.00     
82000     49.90     1.50082        0.301965         1.00 / 2.14 / 0.88 / 6.00     
83000     51.00     1.47587        0.303414         1.00 / 2.13 / 0.86 / 6.00     
84000     52.10     1.56881        0.306211         1.00 / 2.11 / 0.85 / 5.00     
85000     50.50     1.44131        0.285722         1.00 / 2.19 / 0.93 / 6.00     
86000     49.30     1.43233        0.303046         1.00 / 2.13 / 0.87 / 6.00     
87000     49.20     1.41363        0.302694         1.00 / 2.13 / 0.88 / 6.00     
88000     49.90     1.40304        0.305562         1.00 / 2.12 / 0.85 / 6.00     
89000     50.70     1.41363        0.29447          1.00 / 2.20 / 0.92 / 6.00     
90000     47.20     1.37378        0.306566         1.00 / 2.11 / 0.84 / 5.00     
91000     50.00     1.34129        0.294724         1.00 / 2.16 / 0.85 / 6.00     
92000     47.70     1.32865        0.294245         1.00 / 2.15 / 0.84 / 6.00     
93000     48.80     1.38205        0.289679         1.00 / 2.19 / 0.87 / 6.00     
94000     45.80     1.24961        0.302383         1.00 / 2.14 / 0.87 / 6.00     
95000     45.40     1.26507        0.301043         1.00 / 2.14 / 0.86 / 5.00     
