steps     error     softmax loss   
--------------------------------
1000      100.00    9.21104        
2000      99.80     8.59155        
3000      99.70     8.17283        
4000      99.70     7.91388        
5000      99.40     7.65857        
6000      99.40     7.44845        
7000      99.20     7.29772        
8000      98.80     7.13778        
9000      98.90     6.96362        
10000     97.70     6.84938        
11000     96.50     6.71951        
12000     96.40     6.63151        
13000     95.50     6.49543        
14000     95.40     6.42692        
15000     94.80     6.33034        
16000     94.80     6.27471        
17000     94.00     6.19114        
18000     93.70     6.07377        
19000     93.90     6.01857        
20000     92.60     5.94408        
21000     92.00     5.88682        
22000     91.40     5.79518        
23000     91.60     5.73847        
24000     90.30     5.66257        
25000     91.10     5.59974        
26000     89.70     5.51651        
27000     89.80     5.49044        
28000     89.00     5.42758        
29000     88.90     5.37725        
30000     88.80     5.29534        
31000     88.30     5.24893        
32000     87.60     5.1782         
33000     87.30     5.12403        
34000     86.30     5.07512        
35000     86.90     5.00259        
36000     85.80     4.94529        
37000     86.40     4.90246        
38000     86.30     4.86928        
39000     84.70     4.78587        
40000     83.90     4.77824        
41000     84.30     4.72218        
42000     84.60     4.6591         
43000     84.10     4.62271        
44000     83.40     4.58098        
45000     83.10     4.53498        
46000     83.10     4.49448        
47000     83.30     4.43973        
48000     81.50     4.38586        
49000     82.50     4.36533        
50000     83.00     4.31776        
51000     82.00     4.27266        
52000     81.40     4.21819        
53000     81.50     4.20146        
54000     81.50     4.16726        
55000     80.70     4.11051        
56000     79.20     4.05925        
57000     80.30     4.0256         
58000     80.10     3.98566        
59000     80.80     3.9419         
60000     79.80     3.92182        
61000     79.50     3.88339        
62000     79.90     3.86013        
63000     78.80     3.80661        
64000     78.90     3.77606        
65000     79.10     3.73191        
66000     78.80     3.70334        
67000     78.20     3.67361        
68000     78.60     3.62449        
69000     77.80     3.59146        
70000     78.20     3.54596        
71000     78.70     3.52272        
72000     77.60     3.49022        
73000     77.30     3.47452        
74000     76.60     3.42761        
75000     77.70     3.38778        
76000     76.90     3.3525         
77000     77.50     3.34146        
78000     77.10     3.26843        
79000     76.70     3.23645        
80000     77.00     3.22578        
81000     75.60     3.19707        
82000     75.30     3.18707        
83000     76.00     3.15094        
84000     75.20     3.09937        
85000     74.50     3.06866        
86000     75.60     3.04537        
87000     75.50     3.02498        
88000     75.30     3.00449        
89000     74.70     2.98825        
90000     75.70     2.98452        
91000     75.70     2.94931        
92000     74.50     2.91716        
93000     74.10     2.88275        
94000     73.80     2.86259        
95000     74.60     2.83546        
96000     73.50     2.82217        
97000     73.70     2.83435        
98000     74.30     2.77797        
99000     74.00     2.78474        
100000    73.10     2.72994        
101000    73.00     2.73647        
102000    73.90     2.70693        
103000    73.80     2.69993        
104000    72.60     2.68475        
105000    73.70     2.66176        
106000    72.20     2.64131        
107000    72.20     2.63571        
108000    71.70     2.57818        
109000    71.70     2.56348        
110000    72.40     2.54418        
111000    71.90     2.56313        
112000    71.60     2.54144        
113000    71.60     2.53454        
114000    72.10     2.52474        
115000    72.10     2.51265        
116000    71.50     2.53196        
117000    69.80     2.49969        
118000    71.60     2.4847         
119000    71.00     2.46096        
120000    71.60     2.43782        
121000    71.40     2.43502        
122000    70.80     2.42049        
123000    71.00     2.43795        
124000    69.90     2.39596        
125000    70.30     2.3975         
126000    69.40     2.40012        
127000    69.80     2.34861        
128000    69.80     2.36156        
129000    68.90     2.34995        
130000    69.90     2.34605        
131000    69.50     2.33858        
132000    69.70     2.32844        
133000    68.00     2.301          
134000    68.40     2.31987        
135000    70.30     2.29194        
136000    68.30     2.26402        
137000    69.40     2.26074        
138000    69.20     2.26524        
139000    68.40     2.26439        
140000    68.60     2.24418        
141000    69.80     2.25012        
142000    68.60     2.23672        
143000    67.90     2.22922        
144000    68.30     2.22159        
145000    68.90     2.19281        
146000    67.70     2.17956        
147000    67.60     2.1773         
148000    67.80     2.18034        
149000    68.10     2.1769         
150000    67.10     2.16216        
151000    67.30     2.15014        
152000    68.10     2.12693        
153000    67.00     2.11833        
154000    66.70     2.12055        
155000    68.30     2.10788        
156000    66.80     2.10465        
157000    68.60     2.09331        
158000    67.70     2.07625        
159000    67.30     2.06503        
160000    66.50     2.06421        
161000    67.10     2.06062        
162000    67.30     2.06733        
163000    67.60     2.05175        
164000    66.10     2.05407        
165000    67.50     2.05867        
166000    67.20     2.02932        
167000    67.40     2.03064        
168000    67.30     2.01893        
169000    66.50     2.0311         
170000    66.30     2.03782        
171000    66.40     2.00175        
172000    65.80     2.00099        
173000    65.20     2.01771        
174000    65.90     1.99855        
175000    65.80     1.97729        
176000    65.10     1.98257        
177000    65.70     1.96369        
