steps     error     softmax loss   ponder loss      min / avg / std / max ponder  
-----------------------------------------------------------------------------------
1000      70.60     0.649737       0.000180042      1.00 / 1.99 / 0.11 / 2.00     
2000      70.10     0.640401       0.00155635       1.00 / 1.50 / 0.50 / 2.00     
3000      66.80     0.622078       0.00205435       1.00 / 1.33 / 0.47 / 2.00     
4000      62.60     0.608594       0.00220054       1.00 / 1.28 / 0.45 / 2.00     
5000      63.50     0.596793       0.00168431       1.00 / 1.46 / 0.50 / 2.00     
6000      61.00     0.564297       0.000927043      1.00 / 2.36 / 2.05 / 10.00    
7000      58.90     0.538821       0.000768544      1.00 / 2.87 / 2.38 / 10.00    
8000      55.00     0.496281       0.00100691       1.00 / 4.27 / 3.15 / 10.00    
9000      49.70     0.44402        0.00149384       2.00 / 5.95 / 3.52 / 10.00    
10000     45.40     0.412525       0.00161948       2.00 / 6.77 / 3.28 / 10.00    
11000     42.10     0.390585       0.00168836       2.00 / 7.22 / 3.13 / 10.00    
12000     40.10     0.367597       0.0019345        2.00 / 8.37 / 2.58 / 10.00    
13000     39.40     0.356599       0.001859         2.00 / 8.12 / 2.68 / 10.00    
14000     34.70     0.335228       0.00217544       2.00 / 8.92 / 2.15 / 10.00    
15000     34.90     0.325288       0.0022567        2.00 / 8.97 / 2.12 / 10.00    
16000     32.20     0.302459       0.00231747       2.00 / 9.06 / 2.03 / 10.00    
17000     29.10     0.291658       0.00222128       2.00 / 8.71 / 2.32 / 10.00    
18000     29.30     0.297902       0.00237336       2.00 / 9.06 / 2.03 / 10.00    
19000     27.20     0.269279       0.00238587       2.00 / 9.00 / 2.12 / 10.00    
20000     25.20     0.255942       0.00251679       2.00 / 9.29 / 1.78 / 10.00    
21000     25.20     0.240025       0.00245336       2.00 / 9.10 / 2.02 / 10.00    
22000     24.30     0.23582        0.00254151       2.00 / 9.35 / 1.72 / 10.00    
23000     24.30     0.23158        0.00258297       2.00 / 9.34 / 1.71 / 10.00    
24000     23.10     0.220872       0.00263069       2.00 / 9.44 / 1.57 / 10.00    
25000     21.80     0.206512       0.00260956       2.00 / 9.37 / 1.68 / 10.00    
26000     21.70     0.198281       0.00268259       2.00 / 9.52 / 1.50 / 10.00    
27000     22.80     0.205522       0.00264662       2.00 / 9.39 / 1.67 / 10.00    
28000     19.10     0.180707       0.00268278       2.00 / 9.52 / 1.43 / 10.00    
29000     20.10     0.174457       0.00265483       2.00 / 9.45 / 1.57 / 10.00    
30000     18.00     0.162242       0.00272416       2.00 / 9.56 / 1.38 / 10.00    
31000     18.30     0.15894        0.00267599       3.00 / 9.45 / 1.55 / 10.00    
32000     16.90     0.153771       0.00275887       3.00 / 9.60 / 1.34 / 10.00    
33000     15.70     0.144313       0.00270816       2.00 / 9.49 / 1.44 / 10.00    
34000     14.60     0.138003       0.00279451       2.00 / 9.65 / 1.22 / 10.00    
35000     14.20     0.13176        0.00288598       3.00 / 9.82 / 0.86 / 10.00    
36000     14.50     0.135489       0.00282836       3.00 / 9.68 / 1.14 / 10.00    
37000     12.50     0.114882       0.00286851       3.00 / 9.79 / 0.92 / 10.00    
38000     12.20     0.115009       0.00284225       3.00 / 9.76 / 1.00 / 10.00    
39000     12.90     0.107684       0.00286479       3.00 / 9.80 / 0.91 / 10.00    
40000     11.60     0.101066       0.00287743       3.00 / 9.79 / 0.90 / 10.00    
41000     11.00     0.0979598      0.0028886        3.00 / 9.80 / 0.87 / 10.00    
42000     9.80      0.0906933      0.00292954       3.00 / 9.89 / 0.64 / 10.00    
43000     8.50      0.0790909      0.00291872       3.00 / 9.82 / 0.80 / 10.00    
44000     7.90      0.0755246      0.0029378        3.00 / 9.80 / 0.85 / 10.00    
45000     8.70      0.0802489      0.00289909       3.00 / 9.78 / 0.90 / 10.00    
46000     7.40      0.0710149      0.00284305       3.00 / 9.64 / 1.16 / 10.00    
47000     7.40      0.0644737      0.00289048       4.00 / 9.71 / 1.04 / 10.00    
48000     6.40      0.0617658      0.00286531       4.00 / 9.66 / 1.10 / 10.00    
49000     5.70      0.0594387      0.00289312       4.00 / 9.65 / 1.13 / 10.00    
50000     6.30      0.0577902      0.0028897        5.00 / 9.64 / 1.15 / 10.00    
