steps     error     softmax loss   
--------------------------------
1000      69.80     0.649371       
2000      69.70     0.639202       
3000      66.40     0.620704       
4000      63.50     0.604528       
5000      62.60     0.589005       
6000      61.20     0.565037       
7000      58.80     0.551329       
8000      58.60     0.537129       
9000      56.10     0.51628        
10000     56.20     0.507189       
11000     54.40     0.495603       
12000     51.70     0.480569       
13000     52.50     0.478727       
14000     49.70     0.464297       
15000     49.70     0.455639       
16000     49.00     0.448245       
17000     48.30     0.436105       
18000     47.80     0.431565       
19000     46.10     0.424788       
20000     45.80     0.417592       
21000     43.90     0.406618       
22000     42.40     0.401225       
23000     44.40     0.39923        
24000     43.60     0.388928       
25000     41.90     0.382713       
26000     42.80     0.383813       
27000     41.90     0.369524       
28000     40.90     0.369348       
29000     39.30     0.364556       
30000     38.70     0.356132       
31000     38.20     0.350088       
32000     38.40     0.345381       
33000     37.40     0.338556       
34000     38.20     0.341852       
35000     36.60     0.336008       
36000     36.50     0.334644       
37000     36.10     0.334142       
38000     36.40     0.328716       
39000     35.40     0.325835       
40000     35.20     0.325468       
41000     34.80     0.321404       
42000     35.00     0.319142       
43000     34.90     0.315435       
44000     33.30     0.30864        
45000     32.00     0.307669       
46000     34.00     0.303429       
47000     33.10     0.304358       
48000     33.40     0.29655        
49000     32.90     0.293797       
50000     32.00     0.289799       
51000     33.00     0.290183       
52000     32.10     0.286791       
53000     32.40     0.288182       
54000     32.40     0.290114       
55000     31.50     0.286956       
56000     32.40     0.288772       
57000     31.70     0.288052       
58000     32.40     0.282122       
59000     31.00     0.282827       
60000     31.10     0.281689       
61000     31.00     0.278075       
62000     31.60     0.274969       
63000     30.60     0.27402        
64000     30.40     0.270444       
65000     30.10     0.269223       
66000     29.50     0.261008       
67000     29.50     0.262857       
68000     30.10     0.262052       
69000     29.10     0.260286       
70000     29.10     0.259386       
71000     28.70     0.257599       
72000     30.20     0.255814       
73000     29.40     0.252891       
74000     28.80     0.253836       
75000     27.90     0.254746       
76000     28.60     0.252935       
77000     27.70     0.254792       
78000     28.10     0.25024        
79000     28.40     0.248737       
80000     27.90     0.246365       
81000     27.10     0.245101       
82000     28.20     0.247614       
83000     27.80     0.241668       
84000     28.50     0.249107       
85000     27.10     0.241184       
86000     27.50     0.244231       
87000     27.40     0.239954       
88000     28.00     0.244656       
89000     26.50     0.237034       
90000     25.80     0.237407       
91000     27.30     0.232938       
92000     26.50     0.23265        
93000     26.80     0.236078       
94000     25.60     0.229777       
95000     25.70     0.232093       
96000     25.70     0.228084       
97000     26.00     0.230352       
98000     26.00     0.233387       
99000     26.40     0.229745       
100000    26.20     0.227885       
101000    25.70     0.228282       
102000    25.60     0.223929       
103000    25.60     0.225254       
104000    26.70     0.229026       
105000    26.60     0.228205       
106000    26.60     0.230529       
107000    26.30     0.229955       
108000    25.90     0.22592        
109000    26.00     0.227337       
110000    25.50     0.225906       
111000    25.80     0.223314       
112000    25.60     0.226538       
113000    25.50     0.219392       
114000    25.20     0.217885       
115000    26.40     0.22059        
116000    25.80     0.21604        
117000    25.50     0.220512       
118000    25.30     0.216921       
119000    25.40     0.217564       
120000    25.10     0.217799       
121000    24.20     0.217164       
122000    24.80     0.219357       
123000    25.00     0.212301       
124000    25.80     0.218471       
125000    25.70     0.215176       
126000    24.60     0.213501       
127000    25.50     0.217358       
128000    24.90     0.210809       
129000    24.70     0.21173        
130000    24.10     0.207817       
131000    24.40     0.212697       
132000    24.60     0.207569       
133000    23.00     0.205889       
134000    23.50     0.207723       
135000    23.70     0.20845        
136000    23.80     0.207071       
137000    23.80     0.20404        
138000    23.50     0.204676       
139000    23.40     0.203681       
140000    22.30     0.203785       
141000    23.50     0.203477       
142000    23.80     0.204871       
143000    22.50     0.205239       
144000    23.30     0.204034       
145000    21.80     0.198285       
146000    22.10     0.2043         
147000    22.00     0.202781       
148000    22.60     0.199813       
149000    22.30     0.197456       
150000    23.20     0.20308        
151000    22.20     0.196652       
152000    21.90     0.200498       
153000    24.20     0.201175       
154000    22.00     0.199505       
155000    22.20     0.198032       
156000    22.70     0.197509       
157000    23.00     0.199082       
158000    22.90     0.200381       
159000    21.80     0.193374       
160000    22.10     0.196415       
161000    22.80     0.193503       
162000    22.50     0.193694       
163000    22.20     0.192926       
164000    22.70     0.19906        
165000    23.10     0.197338       
166000    23.00     0.197685       
167000    22.00     0.196196       
168000    22.00     0.194539       
169000    21.40     0.19471        
170000    22.60     0.193885       
171000    22.10     0.192545       
172000    22.00     0.190394       
173000    21.90     0.189219       
174000    20.50     0.187502       
175000    21.30     0.190311       
176000    21.50     0.189709       
177000    21.60     0.189203       
178000    21.80     0.191447       
179000    21.80     0.192396       
180000    21.80     0.187811       
181000    22.10     0.188378       
182000    22.00     0.192897       
183000    21.80     0.190353       
184000    21.90     0.190504       
185000    21.30     0.188178       
186000    21.60     0.189812       
187000    22.00     0.183931       
188000    21.40     0.182926       
189000    20.40     0.178334       
190000    21.50     0.181886       
191000    21.50     0.184568       
192000    21.30     0.182978       
193000    21.50     0.181341       
194000    21.40     0.183399       
195000    20.90     0.18183        
196000    21.30     0.183534       
197000    20.90     0.186796       
198000    21.40     0.184803       
199000    21.10     0.179811       
200000    20.50     0.177671       
201000    20.80     0.178182       
202000    21.10     0.179869       
203000    21.40     0.17866        
204000    21.80     0.178559       
205000    20.60     0.178251       
206000    20.70     0.178313       
207000    21.10     0.17473        
208000    21.90     0.180943       
209000    22.70     0.182646       
210000    22.40     0.181377       
211000    21.80     0.177314       
212000    21.70     0.181794       
213000    21.90     0.178955       
214000    21.40     0.183271       
215000    21.10     0.184989       
216000    22.20     0.184141       
217000    21.20     0.181388       
218000    21.40     0.185513       
219000    22.30     0.184319       
220000    22.20     0.18195        
221000    20.70     0.177026       
222000    21.40     0.17807        
223000    22.30     0.180607       
224000    21.70     0.177545       
225000    21.40     0.178481       
226000    21.60     0.176809       
227000    20.80     0.176039       
228000    22.00     0.174677       
229000    21.10     0.170588       
230000    21.50     0.176223       
231000    21.30     0.176562       
232000    20.20     0.175824       
233000    21.10     0.174417       
234000    20.60     0.173896       
235000    20.40     0.175775       
236000    21.40     0.177629       
