steps     error     softmax loss   ponder loss      min / avg / std / max ponder  
-----------------------------------------------------------------------------------
1000      50.10     0.694133       0.09812          1.00 / 1.02 / 0.14 / 2.00     
2000      48.40     0.691732       0.0985154        1.00 / 1.01 / 0.12 / 2.00     
3000      47.60     0.691893       0.0946599        1.00 / 1.05 / 0.23 / 2.00     
4000      48.30     0.691629       0.0996047        1.00 / 1.00 / 0.06 / 2.00     
5000      46.40     0.692222       0.0945614        1.00 / 1.05 / 0.23 / 2.00     
6000      49.90     0.692738       0.0989124        1.00 / 1.01 / 0.10 / 2.00     
7000      47.60     0.692338       0.0987147        1.00 / 1.01 / 0.11 / 2.00     
8000      46.10     0.691875       0.0992098        1.00 / 1.01 / 0.09 / 2.00     
9000      45.60     0.691696       0.0998024        1.00 / 1.00 / 0.04 / 2.00     
10000     48.30     0.691401       0.0998025        1.00 / 1.00 / 0.04 / 2.00     
11000     48.50     0.690738       0.0928028        1.00 / 1.07 / 0.26 / 2.00     
12000     47.60     0.69098        0.1              1.00 / 1.00 / 0.00 / 1.00     
13000     46.10     0.691075       0.0995064        1.00 / 1.00 / 0.07 / 2.00     
14000     49.50     0.692795       0.0978258        1.00 / 1.06 / 0.65 / 10.00    
15000     47.10     0.693179       0.0997033        1.00 / 1.00 / 0.05 / 2.00     
16000     48.50     0.693387       0.1              1.00 / 1.00 / 0.00 / 1.00     
17000     47.10     0.691497       0.1              1.00 / 1.00 / 0.00 / 1.00     
18000     46.00     0.691309       0.1              1.00 / 1.00 / 0.00 / 1.00     
19000     46.60     0.689991       0.1              1.00 / 1.00 / 0.00 / 1.00     
20000     47.20     0.692034       0.1              1.00 / 1.00 / 0.00 / 1.00     
21000     48.50     0.692129       0.1              1.00 / 1.00 / 0.00 / 1.00     
22000     48.00     0.693086       0.1              1.00 / 1.00 / 0.00 / 1.00     
23000     45.20     0.690584       0.1              1.00 / 1.00 / 0.00 / 1.00     
24000     46.10     0.690176       0.1              1.00 / 1.00 / 0.00 / 1.00     
25000     46.20     0.691082       0.1              1.00 / 1.00 / 0.00 / 1.00     
26000     45.00     0.689919       0.1              1.00 / 1.00 / 0.00 / 1.00     
27000     45.40     0.691119       0.1              1.00 / 1.00 / 0.00 / 1.00     
28000     47.00     0.692707       0.1              1.00 / 1.00 / 0.00 / 1.00     
29000     47.60     0.691999       0.1              1.00 / 1.00 / 0.00 / 1.00     
30000     46.50     0.690836       0.1              1.00 / 1.00 / 0.00 / 1.00     
31000     47.70     0.692067       0.1              1.00 / 1.00 / 0.00 / 1.00     
32000     46.50     0.690654       0.1              1.00 / 1.00 / 0.00 / 1.00     
33000     47.60     0.691789       0.1              1.00 / 1.00 / 0.00 / 1.00     
34000     48.80     0.691551       0.1              1.00 / 1.00 / 0.00 / 1.00     
35000     48.50     0.691687       0.1              1.00 / 1.00 / 0.00 / 1.00     
36000     48.10     0.690937       0.1              1.00 / 1.00 / 0.00 / 1.00     
37000     48.20     0.689879       0.1              1.00 / 1.00 / 0.00 / 1.00     
38000     47.60     0.69007        0.1              1.00 / 1.00 / 0.00 / 1.00     
39000     47.60     0.689635       0.1              1.00 / 1.00 / 0.00 / 1.00     
40000     47.80     0.690337       0.1              1.00 / 1.00 / 0.00 / 1.00     
41000     47.60     0.689341       0.1              1.00 / 1.00 / 0.00 / 1.00     
42000     46.90     0.68821        0.1              1.00 / 1.00 / 0.00 / 1.00     
43000     48.60     0.690485       0.1              1.00 / 1.00 / 0.00 / 1.00     
44000     47.40     0.689016       0.0998022        1.00 / 1.00 / 0.04 / 2.00     
45000     48.80     0.69124        0.1              1.00 / 1.00 / 0.00 / 1.00     
46000     48.30     0.689772       0.1              1.00 / 1.00 / 0.00 / 1.00     
47000     47.20     0.688149       0.1              1.00 / 1.00 / 0.00 / 1.00     
48000     48.20     0.690432       0.1              1.00 / 1.00 / 0.00 / 1.00     
49000     47.60     0.689249       0.1              1.00 / 1.00 / 0.00 / 1.00     
50000     47.20     0.689866       0.0995059        1.00 / 1.01 / 0.09 / 3.00     
51000     48.60     0.688847       0.1              1.00 / 1.00 / 0.00 / 1.00     
52000     48.30     0.69004        0.1              1.00 / 1.00 / 0.00 / 1.00     
53000     46.50     0.689031       0.1              1.00 / 1.00 / 0.00 / 1.00     
54000     48.40     0.688895       0.1              1.00 / 1.00 / 0.00 / 1.00     
55000     47.30     0.687266       0.1              1.00 / 1.00 / 0.00 / 1.00     
56000     47.40     0.689945       0.1              1.00 / 1.00 / 0.00 / 1.00     
57000     48.70     0.691049       0.1              1.00 / 1.00 / 0.00 / 1.00     
58000     47.90     0.689959       0.1              1.00 / 1.00 / 0.00 / 1.00     
59000     48.10     0.688755       0.099901         1.00 / 1.00 / 0.03 / 2.00     
60000     45.60     0.687226       0.1              1.00 / 1.00 / 0.00 / 1.00     
61000     46.60     0.687155       0.1              1.00 / 1.00 / 0.00 / 1.00     
62000     48.90     0.688561       0.1              1.00 / 1.00 / 0.00 / 1.00     
63000     46.20     0.689544       0.1              1.00 / 1.00 / 0.00 / 1.00     
64000     48.30     0.688337       0.1              1.00 / 1.00 / 0.00 / 1.00     
65000     47.70     0.689043       0.1              1.00 / 1.00 / 0.00 / 1.00     
66000     48.00     0.688671       0.1              1.00 / 1.00 / 0.00 / 1.00     
67000     47.20     0.688167       0.1              1.00 / 1.00 / 0.00 / 1.00     
68000     48.20     0.686939       0.1              1.00 / 1.00 / 0.00 / 1.00     
69000     47.40     0.687792       0.1              1.00 / 1.00 / 0.00 / 1.00     
70000     46.40     0.685717       0.1              1.00 / 1.00 / 0.00 / 1.00     
71000     47.60     0.688971       0.1              1.00 / 1.00 / 0.00 / 1.00     
72000     47.80     0.688467       0.1              1.00 / 1.00 / 0.00 / 1.00     
73000     47.00     0.687675       0.1              1.00 / 1.00 / 0.00 / 1.00     
74000     46.30     0.685969       0.1              1.00 / 1.00 / 0.00 / 1.00     
