steps     error     softmax loss   
--------------------------------
1000      48.00     0.693125       
2000      47.80     0.692634       
3000      47.10     0.692649       
4000      46.20     0.690607       
5000      46.70     0.691603       
6000      46.80     0.692766       
7000      47.80     0.691817       
8000      46.80     0.691445       
9000      44.60     0.69089        
10000     45.40     0.690628       
11000     45.80     0.690629       
12000     45.70     0.691208       
13000     44.60     0.690124       
14000     46.50     0.69232        
15000     46.00     0.690675       
16000     44.50     0.68985        
17000     47.30     0.69172        
18000     45.90     0.690676       
19000     45.30     0.690774       
20000     44.20     0.690239       
21000     44.60     0.688608       
22000     45.40     0.690855       
23000     44.00     0.689826       
24000     44.10     0.688659       
25000     45.40     0.68985        
26000     47.40     0.691499       
27000     45.00     0.689436       
28000     45.20     0.689728       
29000     44.20     0.688775       
30000     46.00     0.69055        
31000     44.50     0.688995       
32000     46.90     0.691001       
33000     45.50     0.690401       
34000     43.60     0.686904       
35000     46.60     0.689083       
36000     46.80     0.688777       
37000     47.30     0.689146       
38000     45.20     0.689173       
39000     44.60     0.686148       
40000     46.80     0.687003       
41000     46.20     0.688916       
42000     45.00     0.685718       
43000     46.80     0.68741        
44000     44.10     0.685947       
45000     46.70     0.685711       
46000     45.90     0.685369       
47000     44.80     0.685617       
48000     45.70     0.686307       
49000     44.00     0.683296       
50000     44.50     0.68446        
51000     46.30     0.684366       
52000     45.10     0.683615       
53000     47.20     0.684148       
54000     46.70     0.686323       
55000     45.60     0.684093       
56000     44.80     0.684427       
57000     43.90     0.683403       
58000     46.00     0.681545       
59000     45.00     0.683576       
60000     46.20     0.684307       
61000     45.50     0.681528       
62000     44.90     0.683884       
63000     45.60     0.684402       
64000     45.00     0.682318       
65000     44.80     0.682879       
66000     44.40     0.683353       
67000     44.40     0.681492       
68000     44.90     0.683944       
69000     44.50     0.68204        
70000     44.90     0.681981       
71000     46.10     0.683113       
72000     44.40     0.682474       
73000     44.30     0.681739       
74000     44.30     0.681762       
75000     45.10     0.682082       
76000     45.70     0.682665       
77000     44.10     0.680571       
78000     44.40     0.682279       
79000     43.00     0.681605       
80000     45.00     0.683848       
81000     44.00     0.680876       
82000     45.30     0.682789       
83000     44.50     0.681077       
84000     44.90     0.680984       
85000     45.00     0.682456       
86000     46.50     0.683464       
87000     43.50     0.68245        
88000     44.60     0.680799       
89000     43.60     0.681893       
90000     44.70     0.682634       
91000     44.80     0.681911       
92000     44.10     0.681732       
93000     44.60     0.681314       
94000     43.70     0.679942       
