steps     error     softmax loss   ponder loss      min / avg / std / max ponder  
-----------------------------------------------------------------------------------
1000      86.20     1.6771         0.111163         1.00 / 1.08 / 0.27 / 2.00     
2000      61.80     0.866497       0.112756         1.00 / 1.07 / 0.25 / 2.00     
3000      54.60     0.646593       0.112206         1.00 / 1.07 / 0.26 / 2.00     
4000      49.50     0.533227       0.12088          1.00 / 1.00 / 0.00 / 1.00     
5000      42.70     0.401549       0.12088          1.00 / 1.00 / 0.00 / 1.00     
6000      42.10     0.392655       0.120801         1.00 / 1.00 / 0.03 / 2.00     
7000      41.30     0.377522       0.12088          1.00 / 1.00 / 0.00 / 1.00     
8000      38.90     0.364148       0.12088          1.00 / 1.00 / 0.00 / 1.00     
9000      39.60     0.36385        0.12088          1.00 / 1.00 / 0.00 / 1.00     
10000     35.40     0.300299       0.12088          1.00 / 1.00 / 0.00 / 1.00     
11000     38.30     0.336956       0.12088          1.00 / 1.00 / 0.00 / 1.00     
12000     32.40     0.283298       0.12088          1.00 / 1.00 / 0.00 / 1.00     
13000     35.10     0.294275       0.12088          1.00 / 1.00 / 0.00 / 1.00     
14000     33.70     0.27132        0.12088          1.00 / 1.00 / 0.00 / 1.00     
15000     32.40     0.273672       0.12088          1.00 / 1.00 / 0.00 / 1.00     
16000     31.20     0.263026       0.12088          1.00 / 1.00 / 0.00 / 1.00     
17000     31.10     0.261034       0.12088          1.00 / 1.00 / 0.00 / 1.00     
18000     31.40     0.26246        0.12088          1.00 / 1.00 / 0.00 / 1.00     
19000     31.00     0.260074       0.12088          1.00 / 1.00 / 0.00 / 1.00     
20000     29.90     0.230136       0.12088          1.00 / 1.00 / 0.00 / 1.00     
21000     30.50     0.254022       0.12088          1.00 / 1.00 / 0.00 / 1.00     
22000     29.80     0.255218       0.12088          1.00 / 1.00 / 0.00 / 1.00     
23000     29.00     0.222745       0.12088          1.00 / 1.00 / 0.00 / 1.00     
24000     27.90     0.222379       0.12088          1.00 / 1.00 / 0.00 / 1.00     
25000     27.50     0.230495       0.12088          1.00 / 1.00 / 0.00 / 1.00     
26000     28.10     0.220978       0.12088          1.00 / 1.00 / 0.00 / 1.00     
27000     26.00     0.211602       0.12088          1.00 / 1.00 / 0.00 / 1.00     
28000     28.10     0.217353       0.12088          1.00 / 1.00 / 0.00 / 1.00     
29000     25.60     0.194815       0.114118         1.00 / 1.06 / 0.23 / 2.00     
30000     24.50     0.19691        0.12088          1.00 / 1.00 / 0.00 / 1.00     
31000     25.30     0.187503       0.12088          1.00 / 1.00 / 0.00 / 1.00     
32000     24.70     0.191657       0.12088          1.00 / 1.00 / 0.00 / 1.00     
33000     26.10     0.204198       0.12088          1.00 / 1.00 / 0.00 / 1.00     
34000     24.00     0.171159       0.12088          1.00 / 1.00 / 0.00 / 1.00     
35000     25.80     0.205087       0.12088          1.00 / 1.00 / 0.00 / 1.00     
36000     22.80     0.173847       0.12088          1.00 / 1.00 / 0.00 / 1.00     
37000     22.20     0.163119       0.12088          1.00 / 1.00 / 0.00 / 1.00     
38000     24.40     0.178614       0.12088          1.00 / 1.00 / 0.00 / 1.00     
39000     20.90     0.167854       0.12088          1.00 / 1.00 / 0.00 / 1.00     
40000     23.40     0.181631       0.12088          1.00 / 1.00 / 0.00 / 1.00     
41000     21.90     0.17563        0.12088          1.00 / 1.00 / 0.00 / 1.00     
42000     23.40     0.185362       0.12088          1.00 / 1.00 / 0.00 / 1.00     
43000     23.70     0.17572        0.12088          1.00 / 1.00 / 0.00 / 1.00     
44000     22.50     0.165914       0.12088          1.00 / 1.00 / 0.00 / 1.00     
45000     20.00     0.162949       0.12088          1.00 / 1.00 / 0.00 / 1.00     
46000     23.40     0.177018       0.12088          1.00 / 1.00 / 0.00 / 1.00     
47000     21.70     0.162023       0.12088          1.00 / 1.00 / 0.00 / 1.00     
