steps     error     softmax loss   
--------------------------------
1000      85.40     1.67605        
2000      63.10     0.873074       
3000      53.70     0.59788        
4000      48.80     0.522186       
5000      43.30     0.403796       
6000      42.90     0.407543       
7000      42.20     0.415147       
8000      37.20     0.340524       
9000      36.70     0.325577       
10000     38.50     0.316835       
11000     37.70     0.324614       
12000     35.10     0.303158       
13000     33.70     0.302326       
14000     32.00     0.266173       
15000     33.20     0.269041       
16000     30.90     0.268952       
17000     33.60     0.268419       
18000     29.40     0.246558       
19000     29.40     0.241294       
20000     25.90     0.215332       
21000     26.30     0.231644       
22000     30.40     0.267855       
23000     28.90     0.224938       
24000     27.30     0.208311       
25000     28.50     0.230575       
26000     28.50     0.228978       
27000     27.90     0.212288       
28000     27.30     0.218947       
29000     24.70     0.19603        
30000     27.80     0.214677       
31000     24.90     0.199767       
32000     23.70     0.181532       
33000     23.10     0.188069       
34000     23.70     0.187853       
35000     24.10     0.192312       
36000     21.80     0.1843         
37000     22.70     0.17381        
38000     23.70     0.186098       
39000     21.70     0.182441       
40000     24.80     0.187813       
41000     22.60     0.180836       
42000     21.60     0.172595       
43000     25.00     0.182105       
44000     23.30     0.181831       
45000     21.00     0.161416       
46000     22.50     0.184606       
47000     21.10     0.167138       
48000     20.80     0.165577       
49000     22.50     0.167432       
50000     21.90     0.165578       
51000     21.40     0.170251       
52000     20.90     0.168703       
53000     21.90     0.160059       
54000     19.60     0.163129       
55000     21.70     0.15426        
56000     20.50     0.16207        
57000     21.20     0.160508       
58000     19.70     0.159298       
59000     21.90     0.161755       
60000     19.70     0.14765        
61000     20.30     0.157078       
62000     19.80     0.162588       
63000     20.10     0.145809       
64000     20.50     0.159499       
65000     19.40     0.14135        
66000     19.30     0.153497       
67000     19.00     0.14347        
68000     16.70     0.12618        
69000     19.90     0.157419       
70000     20.70     0.157508       
71000     21.90     0.169916       
72000     17.40     0.142153       
73000     19.60     0.140998       
74000     20.50     0.152286       
75000     18.70     0.145852       
76000     20.10     0.147          
77000     18.10     0.135829       
78000     20.70     0.151812       
79000     19.00     0.144602       
80000     19.00     0.152405       
81000     17.50     0.130359       
82000     17.70     0.146386       
83000     19.90     0.150927       
84000     17.70     0.120767       
85000     17.30     0.124408       
86000     18.40     0.140007       
87000     19.60     0.145139       
88000     18.80     0.134707       
89000     17.90     0.126317       
90000     16.50     0.128848       
91000     17.80     0.131995       
92000     18.00     0.132852       
93000     16.70     0.122206       
94000     16.60     0.126973       
95000     16.70     0.123182       
96000     15.60     0.12326        
97000     18.90     0.139072       
98000     15.50     0.125312       
99000     16.90     0.135703       
100000    16.30     0.13667        
101000    16.90     0.128751       
102000    17.40     0.132647       
103000    18.10     0.12719        
104000    18.30     0.13809        
105000    18.60     0.138666       
106000    17.40     0.122188       
107000    18.30     0.137334       
108000    16.60     0.115807       
109000    16.10     0.119921       
110000    16.90     0.132465       
111000    16.20     0.119044       
112000    17.20     0.125664       
113000    15.90     0.117666       
114000    16.90     0.12404        
115000    15.50     0.1179         
116000    16.50     0.120835       
117000    16.40     0.120108       
118000    15.70     0.113452       
119000    14.70     0.108233       
120000    16.20     0.115539       
121000    16.00     0.125062       
122000    16.90     0.118853       
123000    16.20     0.112798       
124000    15.40     0.121274       
125000    15.10     0.10776        
126000    16.20     0.123958       
127000    17.00     0.126944       
128000    15.90     0.124049       
129000    13.40     0.105709       
130000    16.40     0.120961       
131000    16.00     0.11703        
132000    13.50     0.10373        
133000    13.60     0.105402       
134000    14.00     0.101434       
135000    15.30     0.112056       
136000    16.80     0.11952        
137000    13.90     0.101229       
138000    14.90     0.10814        
139000    15.10     0.10596        
140000    15.10     0.109856       
141000    15.70     0.10961        
142000    14.20     0.112919       
143000    14.50     0.10804        
144000    15.70     0.113493       
145000    16.00     0.125188       
146000    15.50     0.123166       
147000    12.60     0.0991375      
148000    14.70     0.109791       
149000    14.20     0.10537        
150000    16.00     0.116444       
151000    15.20     0.109217       
152000    16.70     0.117954       
153000    14.10     0.107333       
154000    13.70     0.104102       
155000    14.90     0.11044        
156000    15.90     0.114933       
157000    15.40     0.115056       
158000    14.80     0.100885       
159000    14.80     0.102994       
160000    14.90     0.110789       
161000    13.10     0.100366       
162000    14.40     0.102554       
163000    15.00     0.110968       
164000    13.40     0.0965439      
165000    14.70     0.103445       
166000    14.20     0.10431        
167000    14.60     0.108091       
168000    13.40     0.100316       
169000    14.40     0.109107       
170000    14.10     0.103441       
171000    13.70     0.111331       
172000    13.80     0.101399       
173000    14.60     0.114296       
174000    14.40     0.101163       
175000    13.60     0.095571       
176000    14.60     0.105753       
177000    13.40     0.0950512      
178000    15.00     0.111142       
179000    15.80     0.11227        
180000    14.20     0.103878       
181000    13.40     0.102182       
182000    13.40     0.10129        
183000    13.70     0.101542       
184000    13.80     0.0951003      
185000    13.30     0.097264       
186000    13.70     0.100981       
187000    12.70     0.0969332      
188000    13.30     0.0920466      
189000    12.40     0.0985713      
190000    14.00     0.107255       
191000    14.80     0.110869       
192000    12.30     0.0886207      
193000    13.10     0.0971193      
194000    14.20     0.103553       
195000    13.60     0.104138       
196000    15.90     0.107236       
197000    13.80     0.104493       
198000    14.50     0.105133       
199000    12.70     0.102501       
200000    15.30     0.109431       
201000    12.80     0.0923112      
202000    13.50     0.097153       
203000    13.10     0.0946325      
204000    13.70     0.0998672      
205000    13.20     0.096428       
206000    13.90     0.0980183      
207000    13.50     0.0946126      
208000    13.50     0.100136       
209000    12.90     0.0972758      
210000    14.00     0.0999127      
211000    14.00     0.101822       
212000    12.80     0.0940622      
213000    12.70     0.0964014      
214000    13.50     0.102487       
215000    12.30     0.094721       
216000    12.90     0.0923514      
217000    12.50     0.0904664      
218000    12.30     0.086706       
219000    12.10     0.0931248      
220000    12.50     0.0871564      
221000    11.90     0.0899121      
222000    13.00     0.0877305      
223000    14.00     0.102124       
224000    11.90     0.0939567      
225000    14.10     0.105497       
226000    12.30     0.093344       
227000    12.90     0.0985061      
228000    13.40     0.104671       
229000    13.90     0.0970406      
230000    12.30     0.0995427      
231000    14.10     0.101656       
232000    14.00     0.103009       
233000    13.70     0.109167       
234000    14.10     0.104725       
235000    13.30     0.0979429      
236000    12.50     0.0973879      
237000    12.50     0.0957461      
238000    13.50     0.0846865      
239000    12.90     0.0991814      
240000    10.80     0.0881397      
241000    12.60     0.0938631      
242000    12.60     0.0904611      
243000    12.80     0.0935176      
244000    12.90     0.0913383      
245000    11.50     0.0839578      
246000    12.50     0.0919137      
247000    11.50     0.0821617      
248000    10.70     0.0822178      
249000    12.50     0.0895621      
250000    12.10     0.0868487      
